1 0.0000 1.0000
2 0.0000 1.0000
3 0.3333 1.0000
4 0.2500 0.7500
5 0.4000 0.8000
6 0.3333 0.8333
7 0.2857 0.8571
8 0.2500 0.7500
9 0.3333 0.7778
10 0.4000 0.8000
11 0.3636 0.8182
12 0.3333 0.8333
13 0.3077 0.8462
14 0.3571 0.8571
15 0.3333 0.8000
16 0.3125 0.8125
17 0.2941 0.7647
18 0.3333 0.7778
19 0.3158 0.7368
20 0.3000 0.7000
21 0.3333 0.7143
22 0.3636 0.7273
23 0.3913 0.7391
24 0.4167 0.7500
25 0.4000 0.7200
26 0.4231 0.6923
27 0.4444 0.7037
28 0.4643 0.7143
29 0.4828 0.7241
30 0.5000 0.7333
31 0.5161 0.7097
32 0.5000 0.7188
33 0.4848 0.6970
34 0.5000 0.7059
35 0.4857 0.7143
36 0.4722 0.7222
37 0.4595 0.7297
38 0.4737 0.7368
39 0.4872 0.7436
40 0.4750 0.7500
41 0.4878 0.7317
42 0.4762 0.7381
43 0.4651 0.7442
44 0.4773 0.7500
45 0.4889 0.7556
46 0.5000 0.7609
47 0.4894 0.7447
48 0.4792 0.7500
49 0.4694 0.7551
50 0.4600 0.7600
51 0.4510 0.7451
52 0.4423 0.7500
53 0.4340 0.7547
54 0.4259 0.7593
55 0.4182 0.7636
56 0.4286 0.7500
57 0.4386 0.7368
58 0.4483 0.7241
59 0.4407 0.7288
60 0.4500 0.7333
61 0.4590 0.7377
62 0.4516 0.7419
63 0.4444 0.7460
64 0.4375 0.7500
65 0.4462 0.7385
66 0.4545 0.7424
67 0.4478 0.7463
68 0.4559 0.7500
69 0.4638 0.7536
70 0.4714 0.7429
71 0.4789 0.7465
72 0.4861 0.7500
73 0.4795 0.7397
74 0.4730 0.7432
75 0.4800 0.7333
76 0.4868 0.7368
77 0.4805 0.7403
78 0.4744 0.7308
79 0.4810 0.7215
80 0.4750 0.7250
81 0.4815 0.7284
82 0.4756 0.7317
83 0.4819 0.7349
84 0.4881 0.7381
85 0.4824 0.7294
86 0.4767 0.7326
87 0.4828 0.7356
88 0.4773 0.7386
89 0.4831 0.7416
90 0.4778 0.7444
91 0.4725 0.7473
92 0.4674 0.7500
93 0.4624 0.7419
94 0.4681 0.7340
95 0.4737 0.7263
96 0.4688 0.7292
97 0.4639 0.7320
98 0.4592 0.7347
99 0.4646 0.7374
100 0.4700 0.7400
101 0.4653 0.7426
102 0.4706 0.7451
103 0.4757 0.7476
104 0.4808 0.7500
105 0.4762 0.7524
106 0.4717 0.7547
107 0.4673 0.7570
108 0.4722 0.7593
109 0.4771 0.7615
110 0.4727 0.7636
111 0.4775 0.7658
112 0.4821 0.7589
113 0.4867 0.7522
114 0.4912 0.7544
115 0.4870 0.7565
116 0.4828 0.7500
117 0.4872 0.7521
118 0.4831 0.7458
119 0.4874 0.7479
120 0.4833 0.7500
121 0.4793 0.7438
122 0.4754 0.7459
123 0.4715 0.7480
124 0.4758 0.7500
125 0.4800 0.7520
126 0.4762 0.7540
127 0.4724 0.7559
128 0.4766 0.7578
129 0.4729 0.7597
